filename,transcript,english,note
BarrackEntrance_Normal.wav,うん。,Yeah.,
Bedroom_0101.wav,んんんん。,Nngh.,
Bedroom_01_Idle.wav,嗯嗯嗯嗯嗯嗯,Hmm...,
Bedroom_0201.wav,あっ、ふん。,Oh. Hmph.,
Bedroom_0301.wav,はっ、ぴゅぴゅぴゅ!,"Hah, pew pew pew!",
Bedroom_0401.wav,はぁ、うん。,"Hah, yeah.",
Bedroom_0501.wav,はい、はい、はあ。,"Yeah, yeah... fine.",
Bedroom_0601.wav,うん、ふっ。,Yeah. Heh.,
Behave_InspectExclusive.wav,んん。,Mm.,
Behave_Stretch.wav,は……。,Huh...,
Break.wav,はっ！,"Yes, sir!",
Camera_Aroud.wav,嗯。,Uh-huh.,
Camera_Look.wav,うん、うん。,"Yeah, yeah.",
End.wav,Hmpf.,Hmph.,
Gacha.wav,はぁっ,Hah!,
Series_Attack_Series_Tone_Positive_003.wav,撃て,Fire!,
Series_Battle_Start_Series_Tone_Positive_002.wav,この戦い、必ず勝ちます。,We will prevail in this fight.,
Series_Chosen_Auto_Series_Tone_Positive_007.wav,小尉長尉,"Second Lieutenant, Captain.",
Series_Chosen_Series_Tone_Positive_006.wav,ご命令を。,Awaiting your orders.,
Series_Daily_001.wav,ん、コンソールの上に使用済みのコーヒーカップが二つ……お客様ですか?,Hm. Two used coffee cups on the console... Do we have guests?,
Series_Daily_002.wav,今日も静かな一日でした。バリアーグもイキムクロも現れず、ソップもおとなしくしていました。,"It was another quiet day. No sign of Bariag or Ikimukuro, and even Sopp stayed quiet.",
Series_Daily_003.wav,人間は人形より複雑です。人形は論理演算すれば明確な答えが出ますが、人間は様々な要素に左右されます。だから人間は喜びや悩み、迷いや苦しみを感じるのでしょう。もっとそれらの感情について知り、感じてみたいものです。,"Humans are more complex than dolls. With dolls, follow the logic and you get a clear answer; humans are swayed by all kinds of factors. That’s why people feel joy and worry, doubt and suffering. I want to learn more about those emotions—and feel them myself.",
Series_Daily_004.wav,私の損傷のことより、次の任務の予算について考えてください。,Please consider the budget for the next mission rather than my injuries.,
Series_Daily_005.wav,指揮官、言われていたものを……あ、なんですかこの騒ぎは。またソップ?ちょっと目を離した隙に……やめなさいソップ、ソップ?,"Commander, here’s what you asked for… Huh? What’s all this commotion? Sopp again? I look away for one second and— Cut it out, Sopp! Sopp?",
Series_Die_Series_Tone_Negative_001.wav,すみません,Sorry!,
Series_Dying_Series_Tone_Negative_002.wav,持ちこたえなきゃ,Gotta hold out!,
Series_Hit_Single_Hit_001.wav,隙あり。,You’re open!,
Series_Hitted_Series_HittedLast.wav,くっ,Tch!,
Series_Kill_Single_Kill_001.wav,終わりです。,It’s over.,
Series_Lose_Single_Lose_001.wav,計画が甘かった。皆さん、すみません。,"The plan was flawed. Sorry, everyone.",
Series_Set_Click_Series_Tone_Positive_004.wav,待機,Stand by.,
Series_Set_Fall_Series_Tone_Positive_005.wav,失望はさせません,I won’t let you down.,
Series_Shield_Broken_Series_Tone_Negative_003.wav,油断した。,I let my guard down.,
Series_Skill01_Single_Skill_001.wav,あなたの罪を数えなさい。,Count your sins.,
Series_Skill02_Single_Skill_002.wav,行動開始。時間に注意。,Commence operation. Watch the clock.,
Series_Tone_Positive_001.wav,戦闘準備完了。,Combat ready.,
Series_Ultimate_Single_Ultimate_SSR_001.wav,弱点を狙って。,Aim for the weak spot!,
Series_Up_001.wav,少し強くなりました。,I'm a little stronger now.,
Series_Up_002.wav,もっと成長しないと。,Gotta get better.,
Series_Up_003.wav,まだいけます。,I can keep going.,
Series_Up_004.wav,みんなの力になります。,I'll support you all.,
Series_Up_005.wav,未来をこの手に。,The future’s in our hands.,
Series_Win_Single_Win_001.wav,通りすがりの人形よ。覚えておいて。,I'm just a doll passing through. Remember that.,
Single_Birthday_SSR_001.wav,指揮官、お誕生日おめでとうございます。みんなのほうも準備が終わりました。パーティー会場はこちらです。どうぞ。,"Commander, happy birthday. We’re all set on our end. The party’s over here—right this way.",
Single_Birthday_SSR_002.wav,もう一年ですか。時間が過ぎるのは早いですね。去年叶えたかったお願いは叶いましたか?どんなお願いでも、私が力になってみせましょう。,"Another year already? Time flies, doesn’t it? Did the wish you made last year come true? Whatever it is, I’ll help make it happen.",
Single_Christmas_001.wav,メリークリスマス、指揮官。これをどうぞ。この模型はレアものですよ。情報サイトをあちこち探してきた甲斐がありました。,"Merry Christmas, Commander. Here you go. This model’s a rare find. Scouring all those info sites was worth it.",
Single_Christmas_002.wav,今日は指揮官に特別なプレゼントをご用意しました。ただ渡すだけではつまらないので、ここは中身を当ててみてはいかがでしょう。ヒントは、あなたが以前欲しいと口にしていたものです。私ははっきりと覚えていますよ。,"I’ve prepared a special present for you today, Commander. Just handing it over would be dull, so how about you try guessing what’s inside? Here’s a hint: it’s something you said you wanted before. I remember it clearly.",
Single_Friendliness_001.wav,任務地近くに小さい市場があるそうです。有名ではありませんが、珍しいものがあるかもしれません。一緒に行きませんか?,"I heard there’s a small market near the mission area. It’s not well-known, but there might be some rare finds. Want to check it out together?",
Single_Friendliness_002.wav,指揮官、今日何か予定はありますか?SNSで面白そうな映画を見つけたので、もしよかったら一緒に…,"Commander, do you have any plans today? I found a movie on social media that looks interesting—if you’d like, we could go together…",
Single_Friendliness_003.wav,え、これ、私がSNSに上げた投稿じゃないですか。どうしてこれを……その、忘れてください。,"Wait, isn’t that the post I put up on social media? Why do you have this— Just… forget it.",
Single_Friendliness_004.wav,メンタルに穴が空くことは、人形にとって異常で、非論理的なことです。しかしその空洞が、今の私を形作っているのです。,A hole in the mind is abnormal—illogical—for a doll. Yet that void is what shapes me now.,
Single_Friendliness_005.wav,この前の戦闘での失態はどうか忘れてください。ダイナーゲートがあんなにたくさんやってくるとは思わなかったので。,Please overlook my blunder in the last engagement. I didn’t expect that many Dinergates to show up.,
Single_Friendliness_006.wav,今日までずっと人間を観察しながら考えてきました。人間について分からないことはまだたくさんありますが、一つだけ確かなことは、あなたは他の人とは違う特別な人だということです。,"I have been observing humans and reflecting to this day. There is still much I do not understand about them, but one thing is certain: you are not like the others—you are special.",
Single_Friendliness_007.wav,時間空いてるかですか？そうですね、あなたとの約束なら、優先して時間を作ります。,"Are you asking if I’m free? If it’s plans with you, I’ll make time. Priority.",
Single_Friendliness_008.wav,再会してから、あなたが大切にしているものを近くで見てきました。それはきっと、私と同じもの。これからもずっと、そばにいさせてください。,"Since we reunited, I’ve seen up close what matters to you. I’m sure it’s the very same thing that matters to me. Please let me stay by your side, always.",
Single_Login_001.wav,今日は天気が悪いので、外出任務は私に任せてください。,The weather’s bad today. Please leave the outside op to me.,
Single_MidAutumn_001.wav,今夜の月は丸くて、とても綺麗ですね。ちょっとした食べ物と飲み物を用意したので、もう少し眺めていませんか?,The moon is full and so beautiful tonight. I brought some snacks and drinks—shall we watch it a little longer?,
Single_MidAutumn_002.wav,一緒にお月見なんてどうですか、指揮官。逸話によると、お月様には仙人がいるそうなのですが、あんな遠い場所に一人ぼっちだなんて、寂しくないのでしょうか。幸い、私には指揮官がいますが。離れ離れになるつもりはありませんよ。,"How about some moon-gazing together, Commander? According to legend, there’s a sage on the moon—wouldn’t it be lonely, all alone that far away? Fortunately, I have you, Commander. I don’t intend to be apart from you.",
Single_NewYear_001.wav,指揮官、あけましておめでとうございます。あなたが健やかに過ごせて、私もショップのことを心配せずに済む年であることを願います。指揮官の願い事は何ですか?,"Commander, Happy New Year. I hope you stay in good health—and that it’s a year I don’t have to worry about the shop. What’s your wish, Commander?",
Single_NewYear_002.wav,明けましておめでとうございます、指揮官。ヒーロー作品のほとんどは主人公が一人で責任を背負っていましたが、指揮官には私がいます。去年も今年も来年も、困難は半分こです。,"Happy New Year, Commander. In most hero stories, the hero carries the burden alone—but you’ve got me. Last year, this year, and next, we split the hardships down the middle.",
Single_Obtain_SSR_001.wav,やっとまたお会いできました。指揮官、また以前のように命令してください。,"Finally, we meet again. Commander, please give your orders as before.",
Single_Passive_SSR_001.wav,守るべき人のために。,For those we must protect.,
Single_SpringFes_001.wav,外出した人形たちと勝手に連絡を取ってすみません。今日は団欒の日だとメイリンに聞きました。今日は指揮官と人形のみんなで一緒にいたいんです。,Sorry for contacting the dolls who were out without permission. I heard from Mei-Lin that today is our get-together day. I’d like to spend today with the Commander and all the dolls.,
Single_SpringFes_002.wav,春節とは、誰もが休む日。これは指揮官も例外ではありません。仕事はひとまず置いて、私と映画でも見ませんか?私のコレクションしたとっておきの名作たち、気になりますよね。,"Spring Festival is a day when everyone takes a break. That goes for you too, Commander. How about we set work aside for now and watch a movie together? You’re curious about the handpicked classics in my collection, aren’t you?",
Single_Title_001.wav,ドールズフロントライン2エクシリウム,Girls’ Frontline 2: Exilium,
Single_Valentine_001.wav,今日、闇ブローカーから珍しい映画を買いました。昔流行った恋愛ものらしいのですが、初めてのジャンルなので、その、一緒に見てくれませんか?,"I bought a rare movie from a black-market dealer today. They say it’s an old hit romance, but it’s my first time with that genre, so, um… would you watch it with me?",
Single_Valentine_002.wav,去年見た恋愛映画、面白かったので今年も指揮官を誘いに来ました。闇ブローカー曰く、普通の恋愛映画よりもかなり刺激的らしく…きっと、もっと面白くなってるはずなんです。,"That romance movie we watched last year was great, so I’m here to invite you again this year, Commander. The black-market broker says it’s way spicier than a regular romance… I’m sure it’ll be even better.",
Touch_Gun.wav,嗯。,Yeah.,
Touch_Head.wav,うん。,Yeah.,
Touch_Pocket.wav,Hmm...,Hmm...,
