filename,transcript,english,note
BarrackEntrance_Normal.wav,はぁ…ん?,Ugh... Huh?,
Bedroom_0101.wav,あー…。,Uh...,
Bedroom_0201.wav,うーん,Hmm...,
Bedroom_0301.wav,ふん,Hmph.,
Bedroom_03_Idle.wav,,,
Bedroom_0401.wav,はぁーん,Ungh...,
Bedroom_0501.wav,ああ。,Yeah.,
Behave_InspectExclusive.wav,はぁ…。,Sigh...,
Behave_Stretch.wav,んっ…,Ngh...,
Break.wav,...,...,
Camera_Aroud.wav,んー。,Hmm...,
Camera_Look.wav,あっ...,Ah...,
End.wav,Hm.,Hm.,
Gacha.wav,はぁ…。,Sigh...,
Series_Battle_Start_Series_Up_007.wav,了解。,Roger.,
Series_Cancel_Series_Tone_Positive_009.wav,逃さない。,I won’t miss.,
Series_Chosen_Auto_Series_Hit_Series_Tone_Positive_005.wav,先進。,Advance.,
Series_Chosen_Auto_Series_Tone_Positive_005.wav,先進。,Advance.,
Series_Chosen_Series_Tone_Positive_003.wav,了解。,Roger.,
Series_Daily_001.wav,私の顔色うかがう暇があったら、さっさと仕事して。,Quit worrying about what I think and do your job.,
Series_Daily_002.wav,人形も所詮は道具。道具には感情移入しない方がいいよ。,"In the end, dolls are just tools. Better not to get attached.",
Series_Daily_003.wav,私を二番隊の隊長にしたのは、九陸会の数少ない判断ミス。,Putting me in charge of Second Squad was one of the Kyuriku-kai’s few bad calls.,
Series_Daily_004.wav,使い勝手のいい武器にはなってあげられるけど、それ以外のことは期待しないで。,"I can be a useful weapon for you, but don’t expect anything else.",
Series_Daily_005.wav,テトリィからは何の暗いオーラも感じない。もしかして、デフォルト設定の違い?,I don’t sense any dark aura from Tetry. Maybe it’s just different default settings?,
Series_Daily_006.wav,人間はたあいもない世間話をするのが好きなようだけど、よほど気力が有り余ってるってこと?,Humans sure love idle small talk. Got energy to burn?,
Series_Daily_007.wav,グローサとクルカイは体調像が異なるけど、どちらも参考になる。,"Groza and Kurkai have different builds, but both are useful references.",
Series_Daily_008.wav,コルフェンからは強烈なまでの執念を感じる。一体何が彼女をそうさせているんだろう。,I can feel a fierce obsession coming off Kolfen. What the hell is driving her?,
Series_Daily_009.wav,ルチェーが私につきまとってるんじゃない。むしろ逆。変に聞こえるかもしれないけど、これが私なりの友達との付き合い方なの。,"Luche isn’t the one tailing me. Other way around. Might sound weird, but this is just how I am with friends.",
Series_Daily_010.wav,これだけ身寄りのない人形を引き取っていたなんて……あなたの優しさは常人を凌駕しているね。,I had no idea you’d taken in so many orphaned dolls… Your kindness is on another level.,
Series_Die_Series_Tone_Negative_002.wav,Tad,Tad,
Series_Hit_Series_Tone_Positive_006.wav,死んで。,Die!,
Series_Hit_Series_Tone_Positive_008.wav,Ha.,Hah.,
Series_Hit_Single_Hit_001.wav,戦局は傾いた。,The tide of battle has turned.,
Series_Hitted_Series_HittedLast_Series_Shield_Broken.wav,.,.,
Series_Kill_Single_Kill_001.wav,これで終わり。,It’s over.,
Series_Lose_Single_Lose_001.wav,想像通りの結果だね。,Just as we expected.,
Series_Set_Click_Series_Up_004.wav,後悔しても知らないよ。,Don't say I didn't warn you.,
Series_Set_Fall_Series_Up_008.wav,私があなたを守る。,I will protect you.,
Series_Skill01_Single_Skill_001.wav,そのまま消えて。,Stay gone.,
Series_Skill02_Single_Skill_002.wav,逃げられるとでも?,Think you can run?,
Series_Tone_Negative_001.wav,Ah.,Ah.,
Series_Tone_Positive_001.wav,じゃあ始めよっか。,"Alright, let’s get started.",
Series_Tone_Positive_002.wav,たまれ,Halt!,
Series_Tone_Positive_004.wav,わかった。,Got it.,
Series_Tone_Positive_006.wav,死んで,Die!,
Series_Tone_Positive_007.wav,何の意味もない。,It's pointless.,
Series_Tone_Positive_008.wav,Ha,"Yes, sir!",
Series_Tone_Positive_010.wav,こんなものか。,Is that all?,
Series_Ultimate_Single_Ultimate_SSR_001.wav,砕け散れ!,Shatter!,
Series_Up_001.wav,わかった。,Got it.,
Series_Up_002.wav,私でいいの?,Me? You sure?,
Series_Up_003.wav,時間の無駄。,Waste of time.,
Series_Up_005.wav,何の意味があるの?,What's the point?,
Series_Up_006.wav,好きにして。,Suit yourself.,
Series_Win_Single_Win_001.wav,作戦終了。帰ろっか。,Operation complete. Let's head back.,
Single_Acquire_R_001.wav,あたしにまだ愛想を尽かしていないなんて、よっぽどお人よしだね。,Still haven't given up on me? You're way too nice for your own good.,
Single_Acquire_SSR_001.wav,もう一年か。この時間がずっと続けばいいのに。,A year already. I wish this moment could last forever.,
Single_Anniversary_001.wav,もう一年。人間とこんなに長い時間一緒にいたのは初めて。これからもよろしくね、指揮官。,"A year already. I’ve never spent this long with a human before. Let’s keep working together, Commander.",
Single_Birthday_R_001.wav,お誕生日おめでとう。何を驚いているの?まあ、プレゼントを送らなかった人として覚えられるのは嫌だからね。,"Happy birthday. Why so surprised? Well, I don't want to be remembered as the one who didn't send a gift.",
Single_Birthday_SSR_001.wav,お誕生日おめでとう、指揮官。お祝いに描いた絵を指令室に置いておいた。気に入らなかったらごめん。,"Happy birthday, Commander. I left a drawing I made for the occasion in the command center. Sorry if you don’t like it.",
Single_Birthday_SSR_002.wav,指揮官がこの日に生まれていなかったら、あたしたち会えてなかったんだよね。ごめん、誕生日にこんな話しちゃって。とにかく、お誕生日おめでとう。,"Commander, if you hadn’t been born today, we never would’ve met. Sorry for talking like this on your birthday. Anyway, happy birthday.",
Single_Children_001.wav,これ、あげる。ルチェのために飴を買ってきたんだけど、ちょっと買いすぎちゃって。え、そうは見えない?まあ、別に信じなくてもいいけど。,"Here. Take this. I picked up candy for Luce, but I kinda bought too much. What, you don’t think so? Whatever. You don’t have to believe me.",
Single_Christmas_001.wav,どんなに楽しい時間も、いずれは終わりを迎える。少なくとも、あたしは楽しむことできたけど、あなたはどう？メリークリスマス、指揮官。,"All good times have to end sooner or later. I had fun—how about you? Merry Christmas, Commander.",
Single_Christmas_002.wav,星出るも風のようにストームの中練習していたのだけど、もしかして下手くそだった。大丈夫、自分でもわかってるから。もっと聞きたい?変だね、指揮官。,"I drilled in the storm, fast as the wind, till the stars came out—maybe I still sucked. It’s fine, I know. Want to hear more? You’re a strange one, Commander.",
Single_Duanwu_001.wav,ドラゴンボートって変な風習だね。勝っても何かもらえるわけでもないんでしょ？人間ってそんなに負けず嫌いなんだ。あなたもそうなの？,"Dragon-boat racing’s a weird tradition. You don’t even get anything for winning, right? Humans really hate losing that much. Are you like that too?",
Single_Friendliness_001.wav,仕事は終わったの?自分の責務くらいちゃんと全うしてよね。,Job done? At least handle your own duty properly.,
Single_Friendliness_002.wav,無理に話題を振らなくてもいいから。,No need to force small talk.,
Single_Friendliness_003.wav,私の意見、聞いて何になるの?,Why bother asking for my opinion?,
Single_Friendliness_004.wav,私の描いた絵には何の価値もない。ゴミ箱があったら捨てておいて。,"My drawing’s worthless. If there’s a trash can, just toss it.",
