filename,transcript,english,note
BarrackEntrance_Normal.wav,ふふ。,Heh.,
Bedroom_0101.wav,ふぁー。,Ahh.,
Bedroom_01_Idle.wav,はぁん,Hngh!,
Bedroom_0201.wav,んふふっ,Heh heh!,
Bedroom_0301.wav,嗯……,Hmm...,
Bedroom_0401.wav,ん?,Huh?,
Bedroom_0501.wav,うん。,Yeah.,
Bedroom_0601.wav,ふふふ,Heh heh heh.,
Behave_InspectExclusive.wav,えへへ。,Heh heh.,
Behave_Stretch.wav,Hmm...,Hmm...,
Break.wav,はっ,"Yes, sir!",
Camera_Aroud.wav,んふふ。,Heh heh.,
Camera_Look.wav,ふーん。,Huh.,
End.wav,えへへ,Heh heh.,
Gacha.wav,はっ,"Yes, sir!",
Series_Battle_Start_Series_Move_Start_Series_Up_003.wav,いつでもどうぞ。,Ready when you are.,
Series_Cancel_Series_Tone_Positive_005.wav,お任せください。,Leave it to me.,
Series_Chosen_Auto_Series_Tone_Positive_002.wav,はい。,Yes.,
Series_Chosen_Series_Tone_Positive_010.wav,了解しました。,Acknowledged.,
Series_Daily_001.wav,チャークリーさんたちのおかげで、今月の売り上げも順調に伸びています。私も頑張らないと。,"Thanks to Charkley and the team, this month’s sales are steadily climbing. I’ve got to do my part, too.",
Series_Daily_002.wav,コーヒー豆は品種によって淹れ方も様々です。挽き具合、水の温度……どれも美味しいコーヒーには欠かせません。最近そういったノウハウを整理しているのですが、ご興味はおありですか?,"Brewing methods vary by bean variety. Grind size, water temperature—each is essential to a good cup. I’ve been compiling some notes on it lately; would you be interested?",
Series_Daily_003.wav,世界最古のカフェは、人々がコーヒーを通して交流ができる場を作りたいという思いで誕生しました。ご存知でしたか?,The world’s oldest café was founded with the idea of creating a place where people could connect through coffee. Did you know that?,
Series_Daily_004.wav,どんなに忙しくても、体調にはくれぐれも気をつけてください。,"No matter how busy you are, please be sure to take good care of your health.",
Series_Daily_005.wav,10キロの皆さんのために慰安旅行を企画しているのですが、指揮官もご一緒にどうですか?,"We’re planning an R&R trip for the 10-Kilo team. Would you like to join us too, Commander?",
Series_Daily_006.wav,あ、司令官、新メニューのケーキを考えているのですが、ご意見を伺っても?,"Oh, Commander, I’m working on a new cake for the menu—could I get your opinion?",
Series_Daily_007.wav,エルモ号だけじゃなく、人形たちのメンテナンスや修理もしないといけないなんて、メイリンさん大丈夫でしょうか。,Not just the Elmo—she has to handle maintenance and repairs for the dolls as well. Will Meilin be all right?,
Series_Daily_008.wav,101度で9分23秒。あら司令官、これですか?新しい焙煎法の勉強です。,"101 degrees for nine minutes, twenty-three seconds. Oh, Commander, this? I’m studying a new roasting method.",
Series_Daily_009.wav,砂糖は入れますか?あ、マキアートさんのような過剰摂取は危険なので真似しないでくださいね。,"Would you like sugar? Oh, and please don’t copy Macchiato’s overindulgence—it’s dangerous.",
Series_Daily_010.wav,時間に追われるお客さん、時間を楽しむお客さん。早朝とお昼過ぎが一番忙しい時間帯ですが、時間はどちらでしょう。,"Customers pressed for time, customers savoring it. Early morning and early afternoon are our busiest hours—so which is it?",
Series_Die_Series_Tone_Negative_002.wav,大丈夫です。,I'm okay.,
Series_Hit_Series_Tone_Positive_006.wav,ごきげんよう,Good day.,
Series_Hit_Series_Tone_Positive_007.wav,あらあら,"Well, well.",
Series_Hit_Series_Tone_Positive_008.wav,危ないですよ。,That's dangerous.,
Series_Hit_Single_Hit_001.wav,優功打を与えました。,Delivered an effective blow.,
Series_Hitted_Series_HittedLast_Series_Shield_Broken.wav,うっ,Ugh!,
Series_Kill_Single_Kill_001.wav,気をつけてお帰りください。,Please take care on your way home.,
Series_Lose_Single_Lose_001.wav,次があります。落ち込まないでください。,There’s always next time. Don’t be discouraged.,
Series_Set_Click_Series_Up_007.wav,準備完了です。,Preparation complete.,
Series_Set_Fall_Series_Tone_Positive_004.wav,出撃,Move out!,
Series_Skill01_Single_Skill_001.wav,お茶をお出ししましょう,I’ll bring you some tea.,
