filename,transcript,english,note
BarrackEntrance_Normal.wav,Um.,Uh...,
Bedroom_0101.wav,んんん...,Nngh...,
Bedroom_01_Idle.wav,んっ,Ngh!,
Bedroom_0201.wav,うん。,Yeah.,
Bedroom_0301.wav,…,...,
Bedroom_0401.wav,ふふっ,Heh.,
Bedroom_0501.wav,んん,Mm.,
Behave_InspectExclusive.wav,んん…。,Mm...,
Behave_Stretch.wav,はぁ。,Sigh.,
Break.wav,嗯。,Hmm.,
Camera_Aroud.wav,Hmm...,Hmm...,
Camera_Look.wav,はぁ…。,Sigh...,
End.wav,あっ,Ah!,
Gacha.wav,はぁ,Sigh.,
Series_Daily_001.wav,どんな命令でも、叛逆小隊は必ず期待に応えてみせます。,"Give your orders, Commander. DEFY will not let you down.",wiki
Series_Daily_002.wav,名前の由来？アルファ・ヴォルク……群れを率いる狼です。「彼女」がつけてくれました。,"You want to know why the name Alva? It's a reference to the ""alpha wolf""... ""She"" gave me that name.",wiki
Series_Daily_003.wav,エルモ号は思ったよりその……温かいですね。私含めて、みんなの居場所がある……保安局ではなくグリフィンに所属していたら、もっと早くこの感じを知れたのかな……,"The Elmo is... warmer than I expected. Everyone here has a place of their own, including me. It feels strange... If we were part of Griffin instead of Statesec 10 years ago, perhaps we could have experienced this earlier.",wiki
Series_Daily_004.wav,叛逆小隊全員、アンジェがつけてくれた名前が大好きです。今はもう名乗ることが出来ませんが……,"I like the names Ange gave me... We all did, but they were just fake names and aliases, so we couldn't use them anymore.",wiki
Series_Daily_005.wav,私の価値は、私自身にあります。他人に左右されるものではありません。,"My value doesn't come from comparisons with others, but from my presence and my contribution. This is the most valuable lesson I've learned from my experiences.",wiki
Series_Hit_Single_Hit_001.wav,作戦を実行。,Executing.,wiki
Series_Hitted_Series_HittedLast.wav,あっ,Ah!,
Series_Kill_Single_Kill_001.wav,目標沈黙。,Target silenced.,wiki
Series_Lose_Single_Lose_001.wav,総員撤退。全て私の責任だ……同じ過ちは、二度と繰り返さない。,"All units, execute tactical retreat. I accept full responsibility for this. It will not happen again.",wiki
Series_Skill01_Single_Skill_001.wav,タクティカルモード、起動。,Tactical mode activated. Eliminating target.,wiki
Series_Skill02_Single_Skill_002.wav,脅威を排除する。,Target locked. Eliminating threat.,wiki
Series_Tone_Negative_001.wav,ぐっ……,Urgh...,wiki
Series_Tone_Negative_002.wav,まだやれる……！,I can hold on!,wiki
Series_Tone_Negative_003.wav,こんなところで！,It's not over yet!,wiki
Series_Tone_Positive_001.wav,準備完了。,Preparations complete.,wiki
Series_Tone_Positive_002.wav,目標確認。,Target confirmed.,wiki
Series_Tone_Positive_003.wav,攻撃開始。,Striking target.,wiki
Series_Tone_Positive_004.wav,戦闘準備。,Executing.,wiki
Series_Tone_Positive_005.wav,現着。,Perfectly executed.,wiki
Series_Tone_Positive_006.wav,私がやる。,Leave it to me.,wiki
Series_Tone_Positive_007.wav,任務了解。,Mission accepted.,wiki
Series_Ultimate_Single_Ultimate_SSR_001.wav,リミッター解除、最大火力！,Releasing limiters. Unleashing maximum firepower!,wiki
Series_Up_001.wav,ありがとうございます。,Thank you.,wiki
Series_Up_002.wav,この力、正しく使ってみせます。,I'll make good use of this strength.,wiki
Series_Up_003.wav,性能が向上しました。,Efficiency increased.,wiki
Series_Up_004.wav,隊長として必要なことです。,"I'm the squad leader, this is essential.",wiki
Series_Up_005.wav,ドクター・ショーの設計は時代を超越しています。,Professor Shaw's designs are never outdated.,wiki
Series_Win_Single_Win_001.wav,戦闘終了、脅威は全て排除しました。これで先に進めます。,"Mission complete, AO is cleared. All threats have been eliminated. Commander, we may proceed.",wiki
Single_Birthday_SSR_001.wav,お誕生日おめでとうございます。本当はもっと特別なものを用意したかったのですが、このオートマチックナイフがいいと思います。大丈夫、勝手に開いたりしませんので。,"Happy birthday. I had hoped to get you something more special, but I think this automatic knife is a good choice. Don’t worry, it won’t open on its own.",
Single_Birthday_SSR_002.wav,お誕生日おめでとうございます。時間が過ぎるのは早いものですね。プレゼントはスプリングフィールドさんに意見を聞きました。リラックス効果のあるアロマです。あなたの睡眠を守るのも私の務めですから。,"Happy birthday. Time really flies. I asked Springfield for advice on your present. It’s a relaxing aromatherapy oil. Guarding your sleep is part of my duty, after all.",
Single_Christmas_001.wav,サンタクロースは存在しないはずなのですが……なぜか枕元にプレゼントが。まあ、大方あなたが置いていったのでしょう。私も用意しました。気に入ってくれると嬉しいです。,"Santa Claus isn’t real, and yet there’s a present by my pillow. I suppose you put it there. I’ve prepared something for you as well. I hope you like it.",
Single_Christmas_002.wav,おはようございます、指揮官。今年のプレゼントは、去年より入念に包装されてますね。サンタクロースも腕を上げたものです。お返しに、あなたの部屋を掃除しておきました。あなたの枕元にもプレゼントが?さあ、よくわかりません。,"Good morning, Commander. This year’s present is wrapped more carefully than last year’s. Santa’s upped his game. In return, I cleaned your room. A present on your pillow, too? Who knows.",
Single_Friendliness_001.wav,えっと、すみません、まだ少し緊張してて。10年ぶりなので、話したいことがたくさんあります。,"Um, sorry—I’m still a little nervous. It’s been ten years, so there’s a lot I want to talk about.",
Single_Friendliness_002.wav,時間が経って変わるものがあれば、私たちのように変わらないものもある。,Some things change over time. Others don’t—like us.,
Single_Friendliness_003.wav,昔は反逆小隊とグリフィンに接点がなかったので知りませんでしたが、あなたは人形や人を惹きつける何かを持っているようですね。,"Back when DEFY had no ties to Griffin, I couldn’t have known—but you seem to have something that draws both T-Dolls and people to you.",
Single_Friendliness_004.wav,時々思い出すんです。十年前のフランクフルトを。あなたのような人間を、私は二人しか知りません。,"Sometimes I think back to Frankfurt, ten years ago. I’ve only ever known two people like you.",
Single_Friendliness_005.wav,私たちは保安局を離れましたが、時々保安局からの仕事を受けたりなど、依然協力関係にあります。独立してようやく、リバがいつも資金繰りに困っていた理由が分かりました。,"We left the Security Bureau, but we still pick up the occasional job from them. Now that we’re on our own, I finally get why Leva was always strapped for cash.",
Single_Friendliness_006.wav,なぜ彼女のことを名前で呼ばないのか、ですか。私は彼女から雪狼のコードネームと隊長の役職を引き継いだのですが、当の本人は新しい名前をつけていないので、今に至ります。,"You’re asking why I don’t call her by name? I took over the codename Snow Wolf and the squad leader role from her, but she never chose a new name, so here we are.",
Single_Friendliness_007.wav,時々、すべての戦いが終わった後のことを想像してしまいます。本屋を開いたり、猫を飼ったり。もしあなたがお店に来てくれたら、こんなに嬉しいことはありません。,"Sometimes I imagine what it’ll be like when all the fighting’s over. Opening a bookstore. Getting a cat. If you ever came by the shop, nothing would make me happier.",
Single_Friendliness_008.wav,ボイマスティナは、反逆に新メンバーは不要と言っていましたが、私も彼女も概ね賛成です。もし迎え入れるとしたら、指揮官、あなただしかありえません。,"Voymastina said DEFY doesn’t need any new members, and on that point she and I mostly agree. If we were to bring someone in, Commander, it could only be you.",
Single_Login_001.wav,おはようございます、指揮官。今日のスケジュールを整理しておきました。,"Alva reporting, Commander. I have organized the day's tasks.",wiki
