filename,transcript,english,note
BarrackEntrance_Normal.wav,うっ。,Ugh.,
Bedroom_0101.wav,うん。,Yeah.,
Bedroom_0201.wav,くっ。,Ugh.,
Bedroom_0301.wav,うーん,Hmm...,
Bedroom_03_Idle.wav,はぁ、,Sigh...,
Bedroom_0401.wav,ふむ。,Hmm.,
Bedroom_0501.wav,うっ、はぁ…。,"Ugh, haah...",
Behave_InspectExclusive.wav,うん。,Yeah.,
Behave_Stretch.wav,うっ…。,Ugh...,
Break.wav,はっ！,"Yes, sir!",
Camera_Aroud.wav,ん?,Huh?,
Camera_Look.wav,ん。,Mm.,
End.wav,ふん。,Hmph.,
Gacha.wav,ふん。,Hmph.,
Series_Attack_Series_Tone_Positive_003.wav,血。,Blood.,
Series_Battle_Start_Series_Tone_Positive_002.wav,それが全力か?,That all you got?,
Series_Chosen_Auto_Series_Tone_Positive_007.wav,エンジン起動。,Engine online.,
Series_Chosen_Series_Tone_Positive_006.wav,ご命令を。,Awaiting your orders.,
Series_Daily_001.wav,指揮官は反逆という言葉の意味は知っていますか？いいえ、ドクター・ショーがなぜこのような論理設計にしたのかが不可解でして。無条件に命令に従うこと、これこそが人形の持つ最大の長所だったはずです。,"Commander, do you know the meaning of the word “rebellion”? No—the real mystery is why Dr. Shaw designed the logic this way. Unconditional obedience to orders—that was supposed to be a doll’s greatest strength.",
Series_Daily_002.wav,アルバが隊長として優秀であることに疑う余地はありません。意図が分からずとも迷わず従うのは、これが理由です。,"There’s no doubt Alba is an outstanding squad leader. That’s why we don’t hesitate to follow orders, even when we don’t understand the intent.",
Series_Daily_003.wav,私は静寂を好みますが、指揮官の望みとあらば喜んでお話に付き合いましょう。,"I prefer quiet, but if you wish it, Commander, I’ll gladly talk.",
Series_Daily_004.wav,人形を最強たらしめる要素は性能だけではありません。戦術、効率、経験、どれもが必要不可欠です。,"It takes more than raw specs to make a unit the best. Tactics, efficiency, and experience are all indispensable.",
Series_Daily_005.wav,翻訳内で日常会話が行われることは滅多にありません。あったとしても、彼女らについて言及することになるでしょう。,"Casual chatter almost never shows up in our translations. When it does, it’s usually about the women.",
Series_Die_Series_Tone_Negative_001.wav,ご心配なく,Don't worry.,
Series_Dying_Series_Tone_Negative_002.wav,マガジン二つ。,Two mags.,
Series_Hit_Single_Hit_001.wav,無駄な足掻きだ。,Your struggle is pointless.,
Series_Hitted_Series_HittedLast.wav,ねっ,Right?,
Series_Kill_Single_Kill_001.wav,次。,Next!,
Series_Lose_Single_Lose_001.wav,すべて私の責任です。,I take full responsibility.,
Series_Set_Click_Series_Tone_Positive_004.wav,賢明な判断です。,A wise decision.,
Series_Set_Fall_Series_Tone_Positive_005.wav,手加減が必要?,Need me to hold back?,
Series_Shield_Broken_Series_Tone_Negative_003.wav,その程度か。,That all you got?,
Series_Skill01_Single_Skill_001.wav,さっさと倒れたらどうだ。,Just drop already.,
Series_Skill02_Single_Skill_002.wav,逃げられるとでも?,Think you can run?,
Series_Tone_Positive_001.wav,ここに。,Here.,
Series_Ultimate_Single_Ultimate_SSR_001.wav,ターミネーター、最大出力!,"Terminator, full power!",
Series_Up_001.wav,この程度ですか。,Is that all?,
Series_Up_002.wav,まだ強くなれる。,I can get even stronger.,
Series_Up_003.wav,性能だけでは全く足りません。,Performance alone isn’t nearly enough.,
Series_Up_004.wav,さすがはドクターショーの開発。,Now that’s Dr. Shaw’s work.,
Series_Up_005.wav,立ちはだかる障害はすべて取り払いましょう。,Let's clear every obstacle in our way.,
Series_Win_Single_Win_001.wav,次の目標を教えてください。,Please advise on the next objective.,
Single_Birthday_SSR_001.wav,今日は特別な日です。何かお願いはありますか？たとえ訓練をサボタージュしたいといった願いでも、今日くらいは目をつぶります。,"Today’s a special day. Any requests? Even if you wanted to sabotage training, I’ll look the other way—just for today.",
Single_Christmas_001.wav,メリークリスマス。プレゼントはサプライズとして枕元に隠すなどした方がいいとアルバが言っていましたが、私にとってはやはり手渡しの方がしっくりきます。,"Merry Christmas. Alba was saying it’s better to leave presents by the pillow as a surprise, but to me, handing them over in person still feels more natural.",
Single_Friendliness_001.wav,直近数回分のテストデータを分析しておきました。よければ目をお通しください。,I've analyzed the test data from the last few runs. Please review it when you have a moment.,
Single_Friendliness_002.wav,あなたの決定を疑うことは決してありません。ですが遂行の際は、私にプランの詳細を決めさせてください。,"I would never question your decisions. But when it comes to execution, let me handle the plan’s details.",
Single_Friendliness_003.wav,出発する際は私にお声がけください。防具の最終チェックを行わせていただきます。,Please notify me when you are ready to depart. I will conduct a final inspection of your armor.,
Single_Friendliness_004.wav,あまり私から離れないように。私の射程圏内こそが最も安全な場所ですので。,Do not stray too far from me; the safest place is within my firing range.,
Single_Friendliness_005.wav,仕事は多いですか？いいえ、代わりに終わらせることはできませんが、効率のアドバイスならできるかと思います。,"Do you have a heavy workload? No, I can’t finish it on your behalf, but I can offer advice on efficiency.",
Single_Friendliness_006.wav,次の任務は大変危険です。どうしても行きたいというなら、私も同行します。,"The next mission is extremely dangerous. If you insist on going, I will accompany you.",
Single_Friendliness_007.wav,失礼ですが、なぜ私との会話予定を夜に?これではあなたの睡眠時間に支障を……いえ、あなたの命令とあれば謹んでお受けします。,"Pardon me, but why schedule our conversation at night? It would interfere with your sleep... No—if it’s your order, I’ll comply.",
Single_Friendliness_008.wav,反逆に新たな指揮官はいらないと確かに言いましたが、相手があなたであれば喜んで使いましょう。,"I did say this rebellion doesn’t need a new commander, but if it’s you, we’ll gladly accept you as our commander.",
Single_Login_001.wav,今日も時間通りですね。スケジュールは既に送信しました。異議がなければすぐに取り掛かりましょう。,"Right on time, as usual. I’ve already sent the schedule. If there are no objections, let’s begin immediately.",
Single_MidAutumn_001.wav,終終説ですね、指揮官。いえ、私のことはお気になさらず。あなたと再会できただけでも十分ですから。,"So this is the end, Commander. No—don’t worry about me. Just seeing you again was enough.",
Single_NewYear_001.wav,明けましておめでとうございます。地球の公転に対し、なぜ人間が記念日を設けるのかはわかりませんが、伝統として続いている以上、それなりの理由があるのでしょうね。,"Happy New Year. I don’t quite understand why humans commemorate the Earth’s trip around the sun, but since it’s endured as a tradition, I suppose there must be a reason.",
Single_Obtain_SSR_001.wav,ご無沙汰しております、指揮官。今後は最強の第二世代人形などという肩書きではなく、私の実力にご注視を。,"It’s been a while, Commander. From now on, focus on my skills, not on that so-called strongest second-gen doll title.",
Single_Passive_SSR_001.wav,そんなに意外か?,That surprising?,
Single_SpringFes_001.wav,春節あけましておめでとうございます。なんでしょう、私の給料なら全てあなたに差し上げたはずですが。,"Happy Lunar New Year. What is it? If it’s my salary, I should have already handed all of it over to you.",
Single_Title_001.wav,ドールズフロントライン2：エクシリウム,Girls' Frontline 2: Exilium,
