filename,transcript,english,note
BarrackEntrance_Normal.wav,んっ。,Ngh.,
Bedroom_0101.wav,ふふん,Heh.,
Bedroom_0201.wav,ん,Hm.,
Bedroom_02_Idle.wav,,,
Bedroom_0301.wav,あっ。,Oh!,
Bedroom_0401.wav,ふーん,Hmm.,
Bedroom_0501.wav,うん。,Yeah.,
Bedroom_0601.wav,んっ…,Nngh...,
Bedroom_0701.wav,あっ...,Oh...,
Behave_InspectExclusive.wav,うん。,Yeah.,
Behave_Stretch.wav,ふんふん。,Mm-hmm.,
Break.wav,あっ…。,Oh...,
Camera_Aroud.wav,ん?,Huh?,
Camera_Look.wav,あっ…。,Oh...,
End.wav,…,...,
Gacha.wav,うん,Yeah.,
Sence_Change_1.wav,んっ...,Nngh...,
Sence_Change_2.wav,あっ……。,Oh...,
Sence_Start.wav,うっ…,Ugh...,
Series_Battle_Start_Series_Up_008.wav,怖気づいたの?,Getting cold feet?,
Series_Chosen_Auto_Series_Up_007.wav,どうってことないわ。,No big deal.,
Series_Chosen_Series_Up_003.wav,訓練の成果ね。,Training’s paying off.,
Series_Daily_001.wav,何をしている、ですか？見ればわかると思いますが。形式申請に資料の整理、依頼の事前調査と準備、隊長としてやることが山ほどあるんです。私にはグローザやメイリンのような頼れる助手もいませんし。,"What am I doing? I should think it’s obvious. Paperwork, organizing documents, pre-mission recon and prep—there’s a mountain of work for a squad leader. And I don’t have reliable assistants like Groza or Meilin, either.",
Series_Daily_002.wav,アンドレースが来てから、ミュスティのサボり癖が輪をかけて酷くなって……指揮官、あいつを教育する何かいい方法はありますか?,"Since Andres showed up, Mysty’s slacking’s gotten even worse... Commander, got any good way to whip them into shape?",
Series_Daily_003.wav,今まで観察してきてわかったのですが、私のチーム管理における理念は、グローザともリバとも異なります。まあ、404が一番優秀なのは言うまでもありませんが。,"From what I’ve observed, I’ve realized my approach to team management differs from both Groza’s and Riba’s. Needless to say, 404 is the most capable.",
Series_Daily_004.wav,今どきのバイクデザイナーって、全員バイトか何かなの?今期公表された車種はどれもスペックはいい加減だし、デザインだってセンスの欠片もない。需要があるから供給があるとは言うけど、こんなのを買う連中がいるなんて、ため息しか出ないわね。,"Are today’s motorcycle designers all part-timers or what? Every model unveiled this season has half-assed specs and zero sense of style. They say supply follows demand, but the fact people buy this junk just makes me sigh.",
Series_Daily_005.wav,低反発枕、コーヒーサイフォンに夏用掛け布団……。はぁ、あいつらまた私が見てない隙に余計なものを買い物リストに。,"Memory-foam pillow, a siphon coffee maker, a summer comforter... Sigh. Those guys slipped more junk onto the shopping list while I wasn’t looking—again.",
Series_Daily_006.wav,昔抱えてたどうでもいい迷いを捨ててから気づいたんです。404を引っ張っていけるのは私だけ。404の未来こそが私を完璧たらしめる証明になるのだと。,It wasn’t until I shed the pointless doubts I used to carry that I realized this: I alone can lead 404. 404’s future will be the proof of my perfection.,
Series_Daily_007.wav,404に弱者は必要ありません。彼女たちが望まなくとも、私が最強の戦術人形にしてみせます。,"404 has no use for the weak. Whether they like it or not, I’ll make them into the strongest Tactical Dolls.",
Series_Daily_008.wav,まったく、どうすればあのポンクラどもをエリート人形に育て上げられるのか。,How the hell am I supposed to turn those dumbasses into elite soldiers?,
Series_Daily_009.wav,意外な収穫と言いますか、任務で使ってるうちに、だんだん大型バイクが好きになっていったんです。,"You could call it an unexpected side benefit—using one on missions, I gradually grew to like big motorcycles.",
Series_Daily_010.wav,やっと美鷹を撒けた。しょっちゅう私につきまとって、うざいったらありゃしない。機動基地にあんな甘えん坊な奴はいませんよね。,"Finally ditched Mitaka. He’s always on my tail—annoying as hell. We don’t have anyone that clingy back at the mobile base, right?",
Series_Hit_Series_Tone_Positive_003.wav,続けて。,Keep going.,
Series_Hit_Series_Tone_Positive_008.wav,どいて。,Move!,
Series_Hit_Single_Hit_001.wav,隙あり。,Got an opening!,
Series_Hitted_Series_HittedLast.wav,Hey,Hey!,
Series_Kill_Single_Kill_001.wav,目標沈黙。,Target neutralized.,
Series_Lose_Single_Lose_001.wav,一時撤退……私の判断ミスだわ。,Fall back for now... I misjudged.,
Series_Set_Click_Series_Tone_Positive_006.wav,行動開始。,Commence operations.,
Series_Set_Fall_Series_Tone_Positive_005.wav,注意。,Heads up!,
Series_Shield_Broken_Series_Tone_Negative_002.wav,くっ。,Tch.,
Series_Skill01_Single_Skill_001.wav,現実を知りなさい。,Face reality.,
Series_Skill02_Single_Skill_002.wav,パンデをあげる。,Here’s a bandage.,
Series_Tone_Positive_003.wav,続けて。,Keep going.,
Series_Tone_Positive_004.wav,悪くないわ。,Not bad.,
Series_Tone_Positive_008.wav,どいて。,Move!,
Series_Tone_Positive_009.wav,余計なこと。,That was unnecessary.,
Series_Tone_Positive_010.wav,諦めなさい。,Give up.,
Series_Ultimate_Single_Ultimate_SSR_001.wav,降参するなら今のうちよ。,"Surrender now, while you still can.",
Series_Up_002.wav,まあまあね。,Not bad.,
Series_Up_004.wav,まだ足りないわ。,Still not enough.,
Series_Up_005.wav,訓練を追加しないと。,We need more training.,
Series_Up_006.wav,まだまだよ。,Not over yet!,
Series_Win_Single_Win_001.wav,フン、404を敵に回したのが運の尽きよ。,Hmph. Your luck ran out when you picked a fight with 404.,
Single_Acquire_R_001.wav,確かに、再会してから一年経ちましたけど、別に祝うことではないと思いますが。お祝いは五年目の時にでも取っておきましょう。これは任務ですから、失敗は許されませんよ。,"Granted, it’s been a year since we reunited, but that’s hardly cause for celebration. Save it for the five-year mark. This is a mission; failure is not an option.",
